NU_ANO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_ESCOLA,NU_NOTA_REDACAO,TP_ST_CONCLUSAO
2019,513.8,527.9,535.0,361.8,1,900,1
2019,531.5,603.6,585.5,681.7,1,960,1
2019,593.1,649.5,604.1,671.5,1,560,1
2019,404.7,446.5,504.0,422.0,1,560,1
2019,464.9,538.6,542.1,553.1,2,600,2
2019,547.7,503.9,535.8,536.9,2,900,2
2019,549.6,535.8,531.0,617.1,1,580,3
2019,414.8,406.5,435.0,454.8,1,300,1
2019,578.4,543.2,612.2,592.8,1,940,1
2019,424.6,355.8,400.1,536.8,1,500,1
2019,477.8,502.3,546.4,644.9,1,0,3
2019,444.7,523.5,535.4,441.4,2,640,2
2019,546.0,561.1,575.0,584.2,1,720,1
2019,400.1,455.7,461.9,406.1,2,500,2
2019,545.5,561.0,554.9,525.2,2,760,2
2019,351.0,432.4,328.4,447.3,1,360,1
2019,532.8,547.8,489.3,441.6,2,580,2
2019,429.9,504.6,555.7,574.3,1,520,1
2019,497.7,559.4,584.4,569.6,1,680,1
2019,616.2,614.4,590.4,715.7,3,760,2
2019,510.0,596.1,553.3,439.2,1,680,1
2019,463.3,501.9,473.8,388.3,1,700,1
2019,524.4,554.6,535.8,437.9,1,540,1
2019,555.8,615.7,614.2,544.3,1,920,1
2019,508.2,573.2,548.5,451.4,2,600,2
2019,618.6,639.2,592.5,732.5,1,640,1
2019,345.3,414.6,561.0,715.9,1,720,3
2019,590.8,585.0,576.9,701.3,1,620,1
2019,463.4,536.8,539.9,373.2,1,460,1
2019,429.9,506.2,551.4,441.3,1,520,1
2019,431.7,426.8,381.6,496.5,2,540,2
2019,444.7,614.3,595.1,663.7,3,900,2
2019,641.9,629.5,536.8,665.8,1,860,1
2019,478.3,384.7,405.3,364.7,1,0,1
2019,477.5,562.6,540.9,603.1,2,460,2
2019,440.1,391.6,485.2,453.1,1,460,1
2019,465.1,573.9,499.9,505.1,1,500,1
2019,560.0,595.7,550.3,600.5,1,740,1
2019,384.6,414.7,492.5,415.5,2,680,2
2019,481.7,566.4,528.5,502.7,1,560,1
2019,606.9,601.6,606.4,753.5,1,780,3
2019,568.6,508.5,580.5,597.3,1,580,1
2019,456.8,455.0,548.3,425.4,1,560,1
2019,363.6,413.7,500.2,430.0,1,560,1
2019,412.5,515.9,443.1,526.9,1,600,1
2019,527.8,571.4,567.1,635.0,2,580,2
2019,524.3,582.2,557.3,661.9,1,940,1
2019,523.0,598.7,512.0,651.5,1,760,1
2019,550.0,559.4,568.2,570.4,2,620,2
2019,477.3,508.6,546.0,367.0,1,540,1
2019,399.2,500.1,486.0,616.1,2,660,2
2019,368.4,489.0,513.1,595.1,2,660,2
2019,429.1,509.4,530.7,476.6,1,600,1
2019,505.1,498.2,530.9,492.0,2,800,2
2019,457.3,596.4,581.9,413.8,1,540,1
2019,431.2,512.1,531.7,476.5,1,580,1
2019,487.3,549.1,521.4,534.0,1,320,1
2019,411.5,452.2,498.2,385.0,1,280,1
2019,405.2,492.9,484.4,542.2,1,620,1
2019,432.0,457.0,542.8,436.7,1,560,1
2019,556.8,605.6,550.7,698.4,2,920,2
2019,532.7,511.9,551.0,641.7,1,460,3
2019,369.2,495.9,461.5,399.6,1,400,1
2019,581.1,657.1,596.0,694.2,1,760,3
2019,521.4,625.0,596.9,632.7,1,580,1
2019,540.5,511.9,515.2,435.9,1,560,1
2019,388.5,446.4,451.3,373.8,2,640,2
2019,407.4,452.7,344.4,517.5,1,480,1
2019,424.8,516.7,541.1,587.9,1,600,1
2019,490.8,515.1,619.0,432.1,1,600,1
2019,636.4,683.5,640.5,709.9,1,760,1
2019,425.2,540.8,578.4,451.7,1,520,1
2019,631.0,636.3,613.4,733.3,1,900,1
2019,470.3,534.0,502.0,590.3,1,620,1
2019,472.8,394.9,490.3,482.0,1,660,1
2019,597.5,576.4,592.1,665.4,2,900,2
2019,551.8,599.8,589.8,617.4,3,680,2
2019,590.4,531.1,568.7,573.1,1,580,3
2019,496.9,544.0,553.7,603.9,1,420,1
2019,377.3,516.4,446.1,400.8,1,580,1
2019,479.3,503.8,554.3,478.5,1,840,1
2019,408.8,552.0,486.5,511.8,1,520,1
2019,442.1,512.2,483.4,371.5,1,440,1
2019,684.6,606.1,578.5,795.3,3,620,2
2019,451.4,499.2,520.6,400.5,1,580,1
2019,472.1,527.4,550.5,467.1,1,480,1
2019,461.7,352.5,377.7,507.6,2,0,2
2019,533.7,531.6,567.4,608.0,2,660,2
2019,451.6,559.8,523.4,449.8,1,580,3
2019,518.3,569.8,577.1,560.7,2,900,2
2019,409.4,548.4,572.5,555.7,2,640,2
2019,458.8,487.4,464.2,437.0,1,320,1
2019,485.4,378.7,476.8,646.3,2,720,2
2019,515.5,565.3,568.7,687.3,2,760,2
2019,432.0,397.5,363.3,497.1,1,560,1
2019,542.2,588.7,603.9,515.3,1,780,1
2019,532.8,579.4,584.5,617.9,2,800,2
2019,570.9,592.9,600.5,625.9,2,520,2
2019,554.1,612.7,615.1,712.1,1,700,1
2019,618.1,597.6,612.1,709.5,1,640,1
2019,565.6,615.6,575.4,521.6,1,780,1
2019,412.7,549.6,513.2,502.0,2,600,2
2019,545.1,578.5,567.6,703.2,1,680,3
2019,574.5,593.2,605.2,657.0,1,640,1
2019,504.8,578.8,549.5,412.2,1,520,1
2019,633.5,656.7,538.4,619.0,1,980,1
2019,448.4,434.5,415.9,427.9,2,260,2
2019,559.8,579.8,548.9,419.2,2,600,2
2019,441.8,426.9,524.8,405.7,1,600,1
2019,569.9,605.7,592.6,471.3,2,540,2
2019,529.3,571.4,553.4,617.6,1,640,3
2019,379.4,493.6,470.0,386.9,1,540,1
2019,355.4,336.5,369.5,474.3,1,540,1
2019,564.5,573.4,597.8,592.4,2,740,2
2019,452.1,447.8,537.9,412.2,2,640,2
2019,401.9,358.7,402.6,362.6,1,400,1
2019,436.8,393.5,468.2,414.4,2,340,2
2019,399.9,518.8,544.7,447.5,3,660,2
2019,420.7,432.5,437.8,468.8,1,520,1
2019,625.9,673.3,647.2,754.8,1,960,3
2019,483.9,403.3,417.5,470.4,2,520,2
2019,463.2,487.5,555.2,450.3,2,480,2
2019,551.0,444.5,558.1,444.2,1,640,1
2019,510.1,502.2,536.5,499.2,1,680,3
2019,471.0,374.6,469.1,365.5,2,540,2
2019,438.8,394.3,364.0,425.1,2,440,2
2019,418.8,571.4,570.9,710.0,2,660,2
2019,631.1,672.9,626.6,751.9,1,960,1
2019,387.9,445.6,479.8,435.1,1,440,1
2019,615.1,596.4,673.4,753.1,1,740,1
2019,548.2,499.0,489.0,509.0,1,520,1
2019,695.6,621.3,611.4,827.7,3,680,2
2019,442.6,415.8,488.8,423.5,2,540,2
2019,518.0,546.5,551.8,484.6,1,640,3
2019,424.4,635.4,604.7,665.7,1,760,1
2019,429.0,451.5,474.8,527.2,2,600,2
2019,385.1,456.5,483.6,405.4,1,560,1
2019,350.2,455.8,424.4,435.8,1,380,1
2019,477.6,515.1,494.1,396.9,2,0,2
2019,407.6,573.5,580.3,390.6,1,800,1
2019,525.2,420.7,498.5,472.4,1,620,3
2019,592.8,446.0,487.9,623.9,2,520,2
2019,504.0,538.7,453.5,485.6,1,700,1
2019,445.1,491.4,392.2,387.9,1,280,1
2019,583.0,595.0,601.0,614.6,1,660,3
2019,407.2,430.1,383.5,430.8,2,480,2
2019,431.0,448.1,499.0,433.4,1,380,3
2019,542.6,608.8,596.3,601.7,2,540,2
2019,546.9,547.1,575.1,566.7,3,520,2
2019,379.1,441.4,592.6,604.0,3,560,2
2019,519.0,563.6,565.7,620.8,1,560,1
2019,498.1,551.0,529.7,463.7,2,440,2
2019,333.9,589.6,547.3,431.3,1,560,1
2019,571.2,572.9,594.0,529.5,2,600,2
2019,548.1,368.0,513.3,412.9,1,460,3
2019,518.9,510.5,523.7,514.7,2,660,2
2019,475.7,577.4,570.6,611.0,2,740,2
2019,544.7,584.6,574.5,704.0,2,700,2
2019,591.7,582.0,607.2,772.3,2,600,2
2019,416.9,375.4,455.5,558.0,1,380,1
2019,550.7,597.9,560.1,641.6,1,560,1
2019,447.4,437.2,492.4,362.0,2,560,2
2019,490.6,392.4,472.3,399.8,1,600,3
2019,361.7,477.3,542.5,566.8,2,600,2
